time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.338591546714957e-06,3.422792503282486e-05,10.002727309069485,0.009590913892171038,0.00190252901622312,0.0,-0.0003887505082049291,0.0020734650907547024,0.0909036947940002,0.0327462711156788,0.01395732751097995,0.0,432.9218804810346,434.09439881108364,433.1286339480964,435.8734029343616
0.12000000000000001,-8.956577807672765e-05,0.000380926859271431,10.012567765769395,0.012100932299482281,0.005967540674426175,0.0,-0.0028507041876240347,0.009766389553371755,0.23708720379927373,0.02336876413438886,-0.006959355816001892,0.0,452.58505545525264,450.89863918677383,451.3305497396197,450.5734574504351
0.18,-0.00039380768049536295,0.0012464179096749962,10.031742961756342,0.013491582614354236,0.005538130153827758,0.0,-0.0072436860845210334,0.01923960254135812,0.40204001514997,0.02191738481623842,-0.008025005492667351,0.0,457.0940407087997,457.00923699876336,457.2994568419088,457.18387434697814
0.23999999999999996,-0.000907875369473612,0.0026146166678885814,10.052785234448056,0.020226899225794348,0.0050475956540791955,0.0,-0.009857209253668134,0.026834966898193112,0.29939587665963835,0.04624904238432194,-0.0086284386680237,0.0,367.97345739451094,367.9138288207594,365.2652478606816,367.6839329317248
0.3,-0.0016714194172546299,0.004812054006694407,10.080560529189922,0.0267693399563127,0.011146182691363471,0.0,-0.01646070452241411,0.047270252268368694,0.6263002447652124,0.06634523496495748,-0.03803124270775693,0.0,505.7172982320717,503.59535409272786,502.58571420128817,504.0414214290007
0.36000000000000004,-0.0028856358312417834,0.008161649885551752,10.118830020365602,0.033541909382466706,0.018116060933167866,0.0,-0.024615779827173757,0.0649803945940825,0.6493105651335602,0.08348773631596113,-0.005889942659718164,0.0,410.36769487347505,413.21016560206147,411.9923801891867,413.50952313109974
0.4200000000000001,-0.004756924685668273,0.012797016385277565,10.161491853783366,0.03853918020596758,0.020157459001302946,0.0,-0.037957896391733664,0.09005705128053149,0.7726514478701529,0.08224201693695703,0.00990467665788524,0.0,444.16176164340567,445.4550580981989,444.99410211473247,444.89774792565044
0.48000000000000015,-0.007449645765807517,0.019012169302227454,10.210505413062268,0.04585982413574907,0.021425241537500916,0.0,-0.05193581970266878,0.11786409289128022,0.8610357204588291,0.06407758977297309,-0.00036503602773831165,0.0,435.33672325401074,434.4765758180347,433.9702278815879,432.4478352524778
0.5400000000000001,-0.011045218353709018,0.02713559709688059,10.26685985118895,0.05188747250192893,0.021399632370386,0.0,-0.0679114198850614,0.1535943998918481,1.0172839251542283,0.04664764855092372,-0.0005674739189226283,0.0,455.5029257434171,455.4867483967893,456.1764797972779,454.7850063766371
0.6000000000000002,-0.015569005290350832,0.037377317363105,10.329799764974782,0.05474897362130271,0.030105736556717666,0.0,-0.08369194601923724,0.18807121661632567,1.0806177882995198,0.04245446149087361,0.030640216520716232,0.0,424.7161914953544,427.38406360009736,427.2115605391376,426.855195768916
0.6600000000000003,-0.0212996442559171,0.04993255339359428,10.399972664797161,0.05738011879270566,0.033967364731901206,0.0,-0.10774657309838012,0.2307279691178098,1.2582652537132797,0.03786222308707343,0.04506777923391929,0.0,462.6230344020567,463.7580423976586,462.0787708627276,461.71746616432057
0.7200000000000003,-0.02848593502442965,0.06498202821978394,10.478648285352774,0.060029341668196956,0.03696625501783668,0.0,-0.13210904393497103,0.27117791173158157,1.3641030874750446,0.043498623409916545,0.03779965144924002,0.0,441.49318405859776,440.8941746621872,440.31864550804227,440.78546117726927
0.7800000000000004,-0.037166286866053506,0.08247453347136688,10.562825407579236,0.06562663641005351,0.04062545169183096,0.0,-0.15758291564148588,0.3124686398161571,1.4416505050664814,0.023326724883809696,0.04957581432576199,0.0,432.72226009925157,433.7133515271583,432.0266590042139,430.32334639466035
0.8400000000000004,-0.047582749368371084,0.10278035873380917,10.65493007518281,0.07316522903531553,0.043647810548322674,0.0,-0.1899748536414219,0.36520704450727387,1.6281751906063113,0.04929491962125653,0.04569639687489071,0.0,466.5420985531026,466.2404389269197,465.31259545072874,467.3412669871379
0.9000000000000005,-0.05982687455716052,0.12609595670276275,10.753995995377538,0.07613584117668548,0.04701146059486394,0.0,-0.21847017712582775,0.4122509025168974,1.67391219269208,0.0463652847098977,0.05321762647107343,0.0,422.8340076602837,423.482964472939,422.7039085110378,422.4529519868419
0.9600000000000005,-0.07390238118985906,0.15238511436663724,10.856976827237457,0.080247252482601,0.05059907173496825,0.0,-0.2510610368081179,0.46446172411128,1.7585931198097808,0.03247727699912804,0.05900208881936749,0.0,435.15622117462794,435.64224836925257,436.76476641755704,435.60601888603964
1.0200000000000005,-0.0902733027103867,0.1823240535834159,10.970171453293785,0.08873002277823172,0.054688242587642044,0.0,-0.29511923430648684,0.5344873188053978,2.014011074850997,0.05930448522150203,0.06600699206327987,0.0,487.84334210799756,488.36839597994344,486.68263746409093,488.68709768258134
1.0800000000000005,-0.10950895899287924,0.2168398678986462,11.100709802813297,0.0923323321643279,0.059456164769215114,0.0,-0.3466695761388125,0.6164573284234818,2.336555034004258,0.060697528554763916,0.07472330002458327,0.0,508.0328370894555,508.6603313288426,507.31333582218144,507.4153781351276
1.1400000000000006,-0.1316814237881964,0.25588063958631607,11.245102375788639,0.1015779843672755,0.07567184417958561,0.0,-0.3941091254084837,0.6858248918414959,2.4759965720551484,0.08545663726233532,0.1110635957890707,0.0,454.5056369331919,457.41491278326924,455.42175092204417,457.40125564197524
